X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha
0.22181947867121257,0.3595935485055202,0.22310089239054565,-16747.41106722,-769.68018807,-15977.73087915,-1634.08045095,-14343.6504282,0.341429
0.111852760784776,0.5710322525165414,0.6693026771716369,-16789.18494771,-838.12781258,-15951.05713512,-1898.39213993,-14052.6649952,0.341429
0.001886042898339413,0.7824709565275626,1.1155044619527283,-16745.70817732,-952.32350272,-15793.3846746,-2262.33653165,-13531.04814295,0.341429
-0.10808067498809712,0.9939096605385838,1.5617062467338194,-16474.00126327,-1120.90435453,-15353.09690874,-2618.01594239,-12735.08096636,0.341429
-0.21804739287453373,1.205348364549605,2.0079080315149107,-15793.94668914,-1346.32389732,-14447.62279182,-2826.13092972,-11621.4918621,0.341429
-0.32801411076097037,1.4167870685606263,2.4541098162960022,-14183.70054894,-1316.78016478,-12866.92038415,-2702.91611114,-10164.00427301,0.341429
-0.4379808286474069,1.6282257725716474,2.9003116010770933,-5957.58190731,4337.74203023,-10295.32393755,-1925.99469643,-8369.32924112,0.341429
-0.5479475465338434,1.8396644765826682,3.3465133858581844,125034.41243745,131162.25541921,-6127.84298176,161.29515023,-6289.13813199,0.341429
-0.6579142644202799,2.0511031805936897,3.7927151706392754,4319706.07811908,4319004.85312856,701.22499052,4726.12186803,-4024.89687751,0.341429
-0.7678809823067165,2.262541884604711,4.238916955420367,10959.94352001,-6.19646552,10966.13998553,12689.5858467,-1723.44586117,0.341429
-0.8778477001931532,2.4739805886157322,4.6851187402014585,21617.00346205,-6.56028022,21623.56374228,21186.46660366,437.09713861,0.341429
-0.9878144180795896,2.685419292626753,5.1313205249825495,40641.28701821,-6.58404649,40647.8710647,38378.50139684,2269.36966786,0.341429
-1.0977811359660261,2.8968579966377743,5.577522309763641,865731.49119954,820085.1609749,45646.33022464,42043.42067106,3602.90955358,0.341429
